key,en,fr,es
epochsDescription,The brain is constantly changing and the EEG changes with it. Dividing the EEG into epochs allows each moment in time to be analyzed individually. Analyzing how the properties of these epochs vary allows us to quantify how the brain changes over time.,The brain is constantly changing and the EEG changes with it. Dividing the EEG into epochs allows each moment in time to be analyzed individually. Analyzing how the properties of these epochs vary allows us to quantify how the brain changes over time. FR,The brain is constantly changing and the EEG changes with it. Dividing the EEG into epochs allows each moment in time to be analyzed individually. Analyzing how the properties of these epochs vary allows us to quantify how the brain changes over time. ES
,,,
//slide-06.js,//slide-06.js,//slide-06.js,//slide-06.js
artefactRemovalSlideTitle,ARTEFACT REMOVAL,ARTEFACT REMOVAL FR,ARTEFACT REMOVAL ES
removingNoise,Removing noise,Removing noise FR,Removing noise ES
afterEEGDividedEpochs,"After the EEG has been divided into epochs, those that contain a ","After the EEG has been divided into epochs, those that contain a  FR","After the EEG has been divided into epochs, those that contain a  ES"
significantLink,significant,significant FR,significant ES
amountNoiseIgnored, amount of noise can be ignored., amount of noise can be ignored. FR, amount of noise can be ignored. ES
artefactDetectionTitle,Artefact detection,Artefact detection FR,Artefact detection ES
artefactDetectionDescription,"One simple way to define a ""significant amount of noise"" is to compare how variable an epoch is in comparison to its neighbours. If the signal moves around in one epoch a lot more than in its neighbours, it is probably because there was an eyeblink or some other source of noise. Get rid of it!","One simple way to define a ""significant amount of noise"" is to compare how variable an epoch is in comparison to its neighbours. If the signal moves around in one epoch a lot more than in its neighbours, it is probably because there was an eyeblink or some other source of noise. Get rid of it! FR","One simple way to define a ""significant amount of noise"" is to compare how variable an epoch is in comparison to its neighbours. If the signal moves around in one epoch a lot more than in its neighbours, it is probably because there was an eyeblink or some other source of noise. Get rid of it! ES"
,,,
//slide-07.js,//slide-07.js,//slide-07.js,//slide-07.js
featureDetectionSlideTitle,FEATURE EXTRACTION,FEATURE EXTRACTION FR,FEATURE EXTRACTION ES
breakingDownEEG,Breaking down the EEG,Breaking down the EEG FR,Breaking down the EEG ES
onceNoiseRemoved,"Once noise is removed, the EEG can be broken down into many simpler periodic signals or ","Once noise is removed, the EEG can be broken down into many simpler periodic signals or  FR","Once noise is removed, the EEG can be broken down into many simpler periodic signals or  ES"
wavesLink,waves,waves FR,waves ES
howEEGBrokenDown,How is the EEG broken down?,How is the EEG broken down? FR,How is the EEG broken down? ES
complexSignalsBrokenDown,Complex signals can be broken down into simpler signals with a mathematical function known as the ,Complex signals can be broken down into simpler signals with a mathematical function known as the  FR,Complex signals can be broken down into simpler signals with a mathematical function known as the  ES
fourierTransformLink,Fourier Transform.,Fourier Transform. FR,Fourier Transform. ES
wavesTitle,Waves,Waves FR,Waves ES
wavesDescription,"Each wave is characterised by a certain frequency (number of cycles per second, Hertz (Hz)). A high frequency wave has many cycles per second, whereas a low frequency wave has fewer cycles per second. Waves of different frequencies are associated with different patterns of neural firing.","Each wave is characterised by a certain frequency (number of cycles per second, Hertz (Hz)). A high frequency wave has many cycles per second, whereas a low frequency wave has fewer cycles per second. Waves of different frequencies are associated with different patterns of neural firing. FR","Each wave is characterised by a certain frequency (number of cycles per second, Hertz (Hz)). A high frequency wave has many cycles per second, whereas a low frequency wave has fewer cycles per second. Waves of different frequencies are associated with different patterns of neural firing. ES"
fourierTransformTitle,Fourier transform,Fourier transform FR,Fourier transform ES
fourierTransformDescription,"The Fourier Transform decomposes a complex signal into a collection of simple sine waves. Often, we use an algorithm specifically called the Fast Fourier Transform (FFT) to perform this decomposition in EEG.","The Fourier Transform decomposes a complex signal into a collection of simple sine waves. Often, we use an algorithm specifically called the Fast Fourier Transform (FFT) to perform this decomposition in EEG. FR","The Fourier Transform decomposes a complex signal into a collection of simple sine waves. Often, we use an algorithm specifically called the Fast Fourier Transform (FFT) to perform this decomposition in EEG. ES"
,,,
//slide-08.js,//slide-08.js,//slide-08.js,//slide-08.js
PSDSlideTitle,PSD,PSD FR,PSD ES
powerSpectralDensity,Power Spectral Density (PSD),Power Spectral Density (PSD) FR,Power Spectral Density (PSD) ES
whenWeApplyFourier,"When we apply the Fourier Transform to the EEG, we obtain a measure of signal strength at given frequencies, represented in units of ","When we apply the Fourier Transform to the EEG, we obtain a measure of signal strength at given frequencies, represented in units of  FR","When we apply the Fourier Transform to the EEG, we obtain a measure of signal strength at given frequencies, represented in units of  ES"
powerLink,power,power FR,power ES
powerTitle,Power,Power FR,Power ES
powerDescription,"In this graph, the X axis represents frequency and the Y axis represents power (microvolts squared, in decibels (dB)). Power represents how strong a certain frequency is in a complex signal. When power is high for only a few frequencies, it means that the signal is primarily composed of those few elements. If all frequencies have similar power, the signal will look random and be difficult to interpret.","In this graph, the X axis represents frequency and the Y axis represents power (microvolts squared, in decibels (dB)). Power represents how strong a certain frequency is in a complex signal. When power is high for only a few frequencies, it means that the signal is primarily composed of those few elements. If all frequencies have similar power, the signal will look random and be difficult to interpret. FR","In this graph, the X axis represents frequency and the Y axis represents power (microvolts squared, in decibels (dB)). Power represents how strong a certain frequency is in a complex signal. When power is high for only a few frequencies, it means that the signal is primarily composed of those few elements. If all frequencies have similar power, the signal will look random and be difficult to interpret. ES"
,,,
//slide-09.js,//slide-09.js,//slide-09.js,//slide-09.js
brainWavesSlideTitle,BRAIN WAVES,BRAIN WAVES FR,BRAIN WAVES ES
whatDoFrequenciesRepresent,What do these frequencies represent?,What do these frequencies represent? FR,What do these frequencies represent? ES
PSDDividedBands,"The PSD can be divided into different frequency bands (named by the greek letters δ, θ, α, β, and γ).","The PSD can be divided into different frequency bands (named by the greek letters δ, θ, α, β, and γ). FR","The PSD can be divided into different frequency bands (named by the greek letters δ, θ, α, β, and γ). ES"
brainWaves,Brain Waves,Brain Waves FR,Brain Waves ES
freqCorrelatedBrain,Each frequency band exhibits activity correlated with different brain processes. These bands are often referred to as ,Each frequency band exhibits activity correlated with different brain processes. These bands are often referred to as  FR,Each frequency band exhibits activity correlated with different brain processes. These bands are often referred to as  ES
brainWavesLink,brain waves,brain waves FR,brain waves ES
harnessingBrainWaves,Harnessing Brain Waves,Harnessing Brain Waves FR,Harnessing Brain Waves ES
noticePowerChanges,Notice how the power in a given frequency band changes over time. It is possible to harness these changes to create a simple ,Notice how the power in a given frequency band changes over time. It is possible to harness these changes to create a simple  FR,Notice how the power in a given frequency band changes over time. It is possible to harness these changes to create a simple  ES
BCILink,brain-computer interface (BCI),brain-computer interface (BCI) FR,brain-computer interface (BCI) ES
deltaTitle,Delta δ (0-4 Hz),Delta δ (0-4 Hz) FR,Delta δ (0-4 Hz) ES
deltaDescription,Delta waves are the slowest (i.e. lowest frequency) brain waves. Delta waves dominate during deep sleep and tend to be high in amplitude because they represent the synchronized firing of large populations of neurons.,Delta waves are the slowest (i.e. lowest frequency) brain waves. Delta waves dominate during deep sleep and tend to be high in amplitude because they represent the synchronized firing of large populations of neurons. FR,Delta waves are the slowest (i.e. lowest frequency) brain waves. Delta waves dominate during deep sleep and tend to be high in amplitude because they represent the synchronized firing of large populations of neurons. ES
thetaTitle,Theta θ (4-8 Hz),Theta θ (4-8 Hz) FR,Theta θ (4-8 Hz) ES
thetaDescription,"Theta waves are most commonly observed in the ""hypnagogic"" period just before falling asleep. They have also been observed during deep meditative and hypnotic states.","Theta waves are most commonly observed in the ""hypnagogic"" period just before falling asleep. They have also been observed during deep meditative and hypnotic states. FR","Theta waves are most commonly observed in the ""hypnagogic"" period just before falling asleep. They have also been observed during deep meditative and hypnotic states. ES"
alphaTitle,Alpha α (8-13 Hz),Alpha α (8-13 Hz) FR,Alpha α (8-13 Hz) ES
alphaDescription,"Alpha waves can indicate the idling of a brain region. For example, they increase dramatically at when the eyes are closed. They are especially strong at the back of the head, where the vision centre of the brain is located.","Alpha waves can indicate the idling of a brain region. For example, they increase dramatically at when the eyes are closed. They are especially strong at the back of the head, where the vision centre of the brain is located. FR","Alpha waves can indicate the idling of a brain region. For example, they increase dramatically at when the eyes are closed. They are especially strong at the back of the head, where the vision centre of the brain is located. ES"
betaTitle,Beta β (13-30 Hz),Beta β (13-30 Hz) FR,Beta β (13-30 Hz) ES
betaDescription,"Beta waves are prevalent when the brain is awake and active. They have been associated with alertness, concentration, and the active firing of neurons hard at work.","Beta waves are prevalent when the brain is awake and active. They have been associated with alertness, concentration, and the active firing of neurons hard at work. FR","Beta waves are prevalent when the brain is awake and active. They have been associated with alertness, concentration, and the active firing of neurons hard at work. ES"
gammaTitle,Gamma γ (30-100 Hz),Gamma γ (30-100 Hz) FR,Gamma γ (30-100 Hz) ES
gammaDescription,"Gamma waves are the fastest form of neural oscillation. They are difficult to detect and analyze with ordinary EEG but are a topic of much ongoing research. They have been tentatively associated with attention, working memory, and even consciousness.","Gamma waves are the fastest form of neural oscillation. They are difficult to detect and analyze with ordinary EEG but are a topic of much ongoing research. They have been tentatively associated with attention, working memory, and even consciousness. FR","Gamma waves are the fastest form of neural oscillation. They are difficult to detect and analyze with ordinary EEG but are a topic of much ongoing research. They have been tentatively associated with attention, working memory, and even consciousness. ES"
BCITitle,Brain-computer interfaces,Brain-computer interfaces FR,Brain-computer interfaces ES
BCIDescription,"A brain-computer interface is a direct communication channel between the brain and an external device. For example, one can feed information about brain state based on EEG frequency bands to a computer; that computer then analyzes the EEG data and decides what the user intent was. The computer can use that command to control an external device such as a wheelchair or a display.","A Brain-computer interface is a direct communication channel between the brain and an external device. For example, one can feed information about brain state based on EEG frequency bands to a computer; that computer then analyzes the EEG data and decides what the user intent was. The computer can use that command to control an external device such as a wheelchair or a display. FR","A Brain-computer interface is a direct communication channel between the brain and an external device. For example, one can feed information about brain state based on EEG frequency bands to a computer; that computer then analyzes the EEG data and decides what the user intent was. The computer can use that command to control an external device such as a wheelchair or a display. ES"
,,,
//slide-end.js,//slide-end.js,//slide-end.js,//slide-end.js
thanksForCompleting,Thanks for completing \n EEG 101,Thanks for completing \n EEG 101 FR,Thanks for completing \n EEG 101 ES
hopeYouEnjoyed,"We have tried hard to provide a simple introduction to neuroscience, signal processing, and brain-computer interfaces. Of course, there is a lot more to learn!","We hope you enjoyed learning about the basics of EEG. Soon, this tutorial will cover more advanced topics, such as how to create a simple brain-machine interface! FR","We hope you enjoyed learning about the basics of EEG. Soon, this tutorial will cover more advanced topics, such as how to create a simple brain-machine interface! ES"
furtherLearning,Resources for Further Learning,What\'s Next? FR,What\'s Next? ES
bciResource,Awesome List of BCI-related Resources,1. Live Artefact Removal FR,1. Live Artefact Removal ES
signalProcessingResource,Signals and Systems MIT Course,2. Offline Mode FR,2. Offline Mode ES
machineLearningResource,Machine Learning is Fun!,3. Interactive Brain Computer Interface! FR,3. Interactive Brain Computer Interface! ES
projectOpenSource,This project is Open Source,This project is Open Source FR,This project is Open Source ES
resultOfCollaboration,"EEG101 is the result of a collaboration between NeuroTechX, the international neurotechnology network, and the developers at KBDGroup. Its source code is open for anyone to use or contribute to.","EEG101 is the result of a collaboration between NeuroTechX, the international neurotechnology network, and the developers at KBDGroup. Its source code is open for anyone to use or contribute to. FR","EEG101 is the result of a collaboration between NeuroTechX, the international neurotechnology network, and the developers at KBDGroup. Its source code is open for anyone to use or contribute to. ES"
interestedInApp,Interested in how an EEG app is built? Want to contribute to this project? Check out the repo on Github and our community on Slack.,Interested in how an EEG app is built? Want to contribute to this project? Check out the repo on Github and our community on Slack. FR,Interested in how an EEG app is built? Want to contribute to this project? Check out the repo on Github and our community on Slack. ES
theTeam,The EEG 101 Team,The EEG 101 Team FR,The EEG 101 Team ES
teamMemberHubert,Hubert Banville - Visionary,Hubert Banville - Visionary FR,Hubert Banville - Visionary ES
teamMemberDano,Dano Morrison - Developer,Dano Morrison - Developer FR,Dano Morrison - Developer ES
teamMemberGeordan,Geordan King - Producer,Geordan King - Producer FR,Geordan King - Producer ES
teamMemberMichael,Michael Vu - Author,Michael Vu - Author FR,Michael Vu - Author ES
teamMemberJoanna,Joanna Jang - Author,Joanna Jang - Author FR,Joanna Jang - Author ES
teamMemberBrian,Brian Stern - Software Architect,Brian Stern - Software Architect FR,Brian Stern - Software Architect ES
