key,en,fr,es,de
epochsTitle,Epochs,�poques,Épocas,Epochen
epochsDescription,The brain is constantly changing and the EEG changes with it. Dividing the EEG into epochs allows each moment in time to be analyzed individually. Analyzing how the properties of these epochs vary allows us to quantify how the brain changes over time.,"Le cerveau change constamment, et cons�quemment l�EEG aussi. En divisant l�EEG en �poques, il devient possible d�analyser chaque moment individuellement. Les propri�t�s de ces �poques varient d�une � l�autre, ce qui nous permet de quantifier � quel point le cerveau change � travers le temps.",El cerebro está constantemente cambiando y el EEG cambia con él. Segmentar el EEG en épocas permite que cada momento sea analizado individualmente. Analizar las propiedades de estas épocas nos ayuda a cuantizar cómo el cerebro cambia con el tiempo,"Das Hirn wechselt ständig zwischen verschiedenen Zuständen, und folglich ändert sich auch das EEG. Indem das EEG in Epochen unterteilt wird, können bestimmte Zeitpunkte individuell betrachtet und analysiert werden. Die Analyse der Eigenschaften der jeweiligen Epochen erlaubt eine Quantifizierung der Hirnzustände über die Zeit."
,,,,
//slide-06.js,//slide-06.js,//slide-06.js,//slide-06.js,//slide-06.js
artefactRemovalSlideTitle,ARTEFACT REMOVAL,EXTRACTION DES ART�FACTS,REMOCIÓN DE ARTEFACTOS,ENTFERNUNG VON ARTEFAKTEN
removingNoise,Removing noise,�liminer le bruit,Quitando ruido eléctrico,Entfernen von Störungen
afterEEGDividedEpochs,"After the EEG has been divided into epochs, those that contain a ","Une fois que l�EEG est divis� en �poques, celles qui contiennent une quantit� de bruit","Después de que el EEG ha sido dividido en épocas, aquellas que contienen una cantidad ","Nachdem das EEG in mehrere Epochen unterteilt wurde, werden die jeweiligen Epochen mit"
significantLink,significant,significative,significante,signifikantem
amountNoiseIgnored, amount of noise can be ignored.,peuvent �tre ignor�es.,de ruido eléctrico deben ser ignoradas.,Anteil von Störungen schlichtweg ignoriert.
artefactDetectionTitle,Artefact detection,D�tection des art�facts,Detección de artefactos,Erkennung von Artefakten
artefactDetectionDescription,"One simple way to define a ""significant amount of noise"" is to compare how variable an epoch is in comparison to its neighbours. If the signal moves around in one epoch a lot more than in its neighbours, it is probably because there was an eyeblink or some other source of noise. Get rid of it!","Une fa�on simple de d�finir cette �quantit� significative de bruit� est de mesurer � quel point l�EEG d�une �poque varie en comparaison � celui de ses voisines. Si le signal varie beaucoup plus dans une �poque donn�e, c�est probablement d� � un clignement de yeux ou � une autre source de bruit. Il faut s�en d�barrasser!","Una manera simple de definir una cantidad ""significante de ruido"" es cuantificar que tan diferente es una época comparada con sus adyacentes. Si la señal varía mucho más en una época que en aquellas adyacentes, probablemente sea porque hubo un parpadeo o alguna otra fuente de ruido. ¡Deshazte de ellos!","Ein einfacher Schritt, “signifikante Anteile von Störungen” zu erkennen, ist es, die Varianz einer Epoche im Vergleich zu den jeweiligen Nachbarn auszuwerten. Falls das Signal binnen einer Epoche deutlich stärker schwankt als bei den Nachbarn, ist der Grund hierfür vermutlich ein Blinzler oder anderes Störsignal. Weg damit!"
,,,,
//slide-07.js,//slide-07.js,//slide-07.js,//slide-07.js,//slide-07.js
featureDetectionSlideTitle,FEATURE EXTRACTION,EXTRACTION DE TRAITS CARACT�RISTIQUES,"
EXTRACCIÓN DE CARACTERISTICAS",FEATURE-EXTRAKTION
breakingDownEEG,Breaking down the EEG,D�composer l�EEG,Analizando el EEG,Analyse des EEGs
onceNoiseRemoved,"Once noise is removed, the EEG can be broken down into many simpler periodic signals or ","Une fois que le bruit a �t� �limin�, l�EEG peut �tre divis� en plusieurs signaux p�riodiques plus simples, commun�ment appel�s","Una vez que el ruido ha sido removido, el EEG puede ser descompuesto en señales periódicas más simples","Wenn Störungen erst einmal entfernt wurden, reduzieren wir das EEG auf mehrere einfache periodische Signale oder "
wavesLink,waves,ondes c�r�brales,u ondas,Wellen
howEEGBrokenDown,How is the EEG broken down?,Comment d�compose-t-on l�EEG?,¿Cómo se descompone el EEG?,Wie wird das EEG heruntergebrochen?
complexSignalsBrokenDown,Complex signals can be broken down into simpler signals with a mathematical function known as the ,Des signaux complexes peuvent �tre d�compos�s en de signaux plus simples en utilisant une formule math�matique appel�e la ,Las señales complejas se pueden descomponer en señales más simples utilizando una función matemática conocida como ,Komplexe Signale können mittels einer mathematischen Funktion in mehrere einfache Signale aufgeteilt werden. Dies ist die sogenannte 
fourierTransformLink,Fourier Transform.,transform�e de Fourier.,la transformada de Fourier.,Fourier-Transformation.
wavesTitle,Waves,Ondes,Ondas,Wellen
wavesDescription,"Each wave is characterised by a certain frequency (number of cycles per second, Hertz (Hz)). A high frequency wave has many cycles per second, whereas a low frequency wave has fewer cycles per second. Waves of different frequencies are associated with different patterns of neural firing.","Chaque onde est caract�ris�e par une certaine fr�quence (nombre de cycles par seconde, Hertz (Hz)). Une onde de haute fr�quence a donc plusieurs cycles par seconde, tandis qu�une onde de basse fr�quence a peu de cycles par seconde. Des ondes de diff�rentes fr�quences sont associ�es � diff�rents patrons d�activation c�r�brale.","Cada onda es caracterizada por una frecuencia específica (número de ciclos por segundo o Hertz (Hz)). Una onda de alta frecuencia completa muchos ciclos en un segundo, mientras que una onda de baja frecuencia completa menos ciclos en ese mismo segundo. Las ondas de diferentes frecuencias se asocian con diferentes patrones de actividad neuronal.","Jede Welle wird durch eine bestimmte Frequenz (Anzahl an Zyklen pro Sekunde, Hertz (HZ)) charakterisiert. Eine hohe Frequenz entspricht vielen Zyklen pro Sekunde, wohingegen eine niedrigere Frequenz weniger Zyklen pro Sekunde gleicht. Wellen verschiedener Frequenzen werden mit verschiedenen neuronalen Impulsmustern in Verbindung gesetzt."
fourierTransformTitle,Fourier transform,La transform�e de Fourier,La transformada de Fourier,Fourier-Transformation
fourierTransformDescription,"The Fourier Transform decomposes a complex signal into a collection of simple sine waves. Often, we use an algorithm specifically called the Fast Fourier Transform (FFT) to perform this decomposition in EEG.","La transform�e de Fourier permet de d�composer un signal complexe en un ensemble d�ondes sinuso�dales simples. Souvent, un algorithme appel� transform�e de Fourier rapide (FFT en anglais) est utilis�e pour effectuer cette d�composition sur l�EEG.","La transformada de Fourier descompone la señal compleja en una colección de ondas sinusoidales más simples. Normalmente utilizamos una implementación especial de la transformada de Fourier, la transformada rápida de Fourier (FFT, por sus siglas en inglés) para efectuar la descomposición de la señal de EEG.","Die Fourier-Transformation zerlegt ein komplexes Signal in eine Menge an einfachen Sinuswellen. Hierbei wird oft ein spezieller Algorithmus, die sogenannte Fast Fourier Transform (FFT) eingesetzt, um das EEG zu zerlegen."
,,,,
//slide-08.js,//slide-08.js,//slide-08.js,//slide-08.js,//slide-08.js
PSDSlideTitle,PSD,DSP (Power Spectral Density),PSD (Power Spectral Density),PSD (Power Spectral Density)
powerSpectralDensity,Power Spectral Density (PSD),Densit� spectrale de puissance (PSD en anglais),"Densidad Espectral de Potencia (PSD, por sus siglas en inglés)",Spektrale Leistungsdichte
whenWeApplyFourier,"When we apply the Fourier Transform to the EEG, we obtain a measure of signal strength at given frequencies, represented in units of ","Quand on applique la transform�e de Fourier � l�EEG, on obtient une mesure de la force du signal � diff�rentes fr�quences, nomm�e ","Cuando aplicamos la transformada de Fourier al EEG, obtenemos una medida de la fuerza de la señal en frecuencias específicas, representada en unidades de","Wenn wir die Fourier-Transformation auf das EEG anwenden, erhalten wir die Signalstärke einer bestimmten Frequenz in Form von "
powerLink,power,puissance,potencia,leistung
powerTitle,Power,Puissance,Potencia,Leistung
powerDescription,"In this graph, the X axis represents frequency and the Y axis represents power (microvolts squared, in decibels (dB)). Power represents how strong a certain frequency is in a complex signal. When power is high for only a few frequencies, it means that the signal is primarily composed of those few elements. If all frequencies have similar power, the signal will look random and be difficult to interpret.","Dans cette figure, l�axe des X repr�sente la fr�quence et l�axe des Y repr�sente la puissance (microvolts carr�s, en d�cibels (dB)). La puissance repr�sente la force d�une certaine fr�quence au sein d�un signal plus complexe. Quand la puissance est �lev�e pour quelques fr�quences uniquement, cela signifie que le signal est principalement compos� de ces �l�ments. D�autre part, si toutes les fr�quences ont une puissance similaire, le signal semble al�atoire et peut s�av�rer difficile � interpr�ter.","En esta gráfica, el eje de las X representa las diferentes frecuencias y el eje de las Y representa la potencia (microvolts al cuadrado, en decibeles (dB)). La potencia representa que tan fuerte una frecuencia es en la señal compleja. Cuando la potencia se concentra en un par de frecuencias, se dice que la señal está compuesta primordialmente por esas frecuencias. Si la potencia está distribuida de manera uniforme, se dice que la señal tiene un comportamiento aleatorio y se vuelve difícil su interpretación","In diesem Graphen repräsentiert die X-Achse die Frequenz und die Y-Achse die Leistung (Mikrovolt im Quadrat, in Dezibeln (dB)). Leistung gibt an, wie stark eine bestimmte Frequenz in einer komplexen Signalzerlegung ist. Wenn die Leistung nur für eine wenige Frequenzen eine signifikante Stärke besitzt, bedeutet das, dass das Signal hauptsächlich aus diesen bestimmten Elementen zusammengesetzt ist. Falls alle Frequenzen eine ähnliche Stärke haben, wirkt das Signal zufällig und ist daher schwer interpretierbar."
,,,,
//slide-09.js,//slide-09.js,//slide-09.js,//slide-09.js,//slide-09.js
brainWavesSlideTitle,BRAIN WAVES,ONDES C�R�BRALES,ONDAS CEREBRALES,GEHIRNWELLEN
whatDoFrequenciesRepresent,What do these frequencies represent?,Qu�est-ce que ces fr�quences repr�sentent?,¿Qué representan estas frecuencias?,Was repräsentieren diese Frequenzen?
PSDDividedBands,"The PSD can be divided into different frequency bands (named by the greek letters δ, θ, α, β, and γ).","La DSP peut �tre divis�e en plusieurs bandes de fr�quences (d�nom�es par les lettres grecques  δ, θ, α, β, and γ).","La PSD se puede dividir en diferentes bandas de frecuencias (nombradas por las letras griegas δ, θ, α, β, y γ).","Die PSD kann in mehrere Frequenzbänder unterteilt werden (benannt nach den griechischen Buchstaben  δ, θ, α, β, sowie γ)."
brainWaves,Brain Waves,Ondes c�r�brales,Ondas Cerebrales,Gehirnwellen
freqCorrelatedBrain,Each frequency band exhibits activity correlated with different brain processes. These bands are often referred to as ,Chaque bande de fr�quences est corr�l�e � diff�rents processus c�r�braux. Ces bandes sont souvent appel�es,"Cada banda de frecuencia exhibe una actividad relacionada con diferentes procesos cerebrales. Normalmente, a estas bandas se les denomina como ","Jedes Frequenzband signalisiert Aktivitäten, die mit verschiedenen Vorgängen im Gehirn korrelieren. Diese Bänder bezeichnet man oft als "
brainWavesLink,brain waves,Ondes c�r�brales,ondas cerebrales,Gehirnwellen
harnessingBrainWaves,Harnessing Brain Waves,Utiliser les ondes c�r�brales,Empleando las ondas cerebrales,Gehirnwellen nutzen
noticePowerChanges,Notice how the power in a given frequency band changes over time. It is possible to harness these changes to create a simple ,Remarquez comment la puissance dans une bande de fr�quences change avec le temps. Il est possible d�utiliser ces changements afin de cr�er une ,Pon atención a como la potencia en una banda de frecuencia específica cambia con el tiempo. Es posible emplear estos cambios para crear una ,"Sieh dir an, wie sich die Signalstärke in verschiedenen Frequenzbändern über die Zeit hinweg verändert. Indem man diese Veränderungen misst und auswertet, erhält man ein einfaches"
BCILink,brain-computer interface (BCI),interface cerveau-ordinateur (ICO),"interfaz cerebro-computadora (BCI, por sus siglas en inglés)",Gehirn-Computer-Interface (BCI)
deltaTitle,Delta δ (0-4 Hz),Delta δ (0-4 Hz),Delta δ (0-4 Hz),Delta δ (0-4 Hz)
deltaDescription,Delta waves are the slowest (i.e. lowest frequency) brain waves. Delta waves dominate during deep sleep and tend to be high in amplitude because they represent the synchronized firing of large populations of neurons.,"Les ondes delta sont les plus lentes (c�est-�-dire, de fr�quences les plus basses) des ondes c�r�brales. Elles dominent notamment durant le sommeil profond et sont de forte amplitude, comme elles proviennent de l�acitivit� synchronis�e de large populations de neurones.",Las ondas delta son las ondas cerebrales más lentas (i.e. frecuencias bajas). Las ondas delta son predominantes mientras dormimos y tienden a tener una gran amplitud porque representan la actividad sincronizada de grandes poblaciones de neuronas disparando al mismo tiempo.,"Deltawellen entsprechen den langsamsten Gehirnwellen (denen mit der niedrigsten Frequenz). Deltawellen dominieren während dem Tiefschlaf und neigen dazu, in starken Signalen aufzutreten, da sie synchronisierte Feuermuster von Neuronen repräsentieren."
thetaTitle,Theta θ (4-8 Hz),Theta θ (4-8 Hz),Theta θ (4-8 Hz),Theta θ (4-8 Hz)
thetaDescription,"Theta waves are most commonly observed in the ""hypnagogic"" period just before falling asleep. They have also been observed during deep meditative and hypnotic states.",Les ondes theta sont commun�ment observ�es dans la p�riode dite �hypnagogique� qui survient juste avant de s�endormir. Leur pr�sence a aussi �t� observ�e lors d��tats m�ditatifs profonds et d��tats hypnotiques.,Las ondas theta normalmente se observan en el periodo hipnagógico justo antes de quedarse dormido. También se han observado durante estados tanto de meditación profunda como hipnóticos.,Thetawellen sind hauptsächlich während “hypnagogen” Phasen direkt vor dem Einschlafen zu beobachten. Sie wurden außerdem während tiefen meditativen Stimulationen oder Hypnosen festgestellt.
alphaTitle,Alpha α (8-13 Hz),Alpha α (8-13 Hz),Alfa α (8-13 Hz),Alpha α (8-13 Hz)
alphaDescription,"Alpha waves can indicate the idling of a brain region. For example, they increase dramatically at when the eyes are closed. They are especially strong at the back of the head, where the vision centre of the brain is located.","Alpha waves can indicate the idling of a brain region. For example, they increase dramatically at when the eyes are closed. They are especially strong at the back of the head, where the vision centre of the brain is located. FR","Las ondas alfa pueden indicar la baja actividad de una región cerebral. Por ejemplo, pueden aumentar dramáticamente cuando los ojos están cerrados. Son especialmente fuertes en la parte de atrás de la cabeza, donde el centro de la visión del cerebro se localiza .","Alphawellen können den “Leerlauf” einer bestimmten Hirnregion andeuten. Sie steigen beispielsweise stark an, wenn die Augen geschlossen bleiben. Außerdem sind sie besonders stark am Hinterkopf, wo das Sehzentrum des Gehirns lokalisiert ist."
betaTitle,Beta β (13-30 Hz),Beta β (13-30 Hz),Beta β (13-30 Hz),Beta β (13-30 Hz)
betaDescription,"Beta waves are prevalent when the brain is awake and active. They have been associated with alertness, concentration, and the active firing of neurons hard at work.",Les ondes beta sont fr�quemment observ�es lorsque le cerveau est en �veil et actif. Elles ont �t� associ�es � des �tats de vigilance et de concentration.,"Las ondas beta prevalecen cuando el cerebro está despierto y activo. Han sido asociadas con estados de alerta, de concentración, y el disparo activo de neuronas que están trabajando arduamente.","Betawellen sind die vorwiegende Kategorie während des Wachzustands des Gehirns. Sie werden mit Aufmerksamkeit, Konzentrationsfähigkeit und dem aktiven Feuern von Neuronen während intensiven Arbeitsphasen in Verbindung gebracht."
gammaTitle,Gamma γ (30-100 Hz),Gamma γ (30-100 Hz),Gamma γ (30-100 Hz),Gamma γ (30-100 Hz)
gammaDescription,"Gamma waves are the fastest form of neural oscillation. They are difficult to detect and analyze with ordinary EEG but are a topic of much ongoing research. They have been tentatively associated with attention, working memory, and even consciousness.","Les ondes gamma sont la forme d�oscillation neuronale la plus rapide. Elles sont difficiles � d�tecter et � analyser avec l�EEG traditionnel, mais font l�objet de beaucoup de recherches. Les ondes gamma sont hypoth�tiquement r�li�es � l�attention, la m�moire op�rationelle, de m�me qu�� la conscience.","Las ondas gamma son el tipo de oscilación neuronal más rápida. Son difíciles de detectar y analizar con EEG ordinario, pero son un tema actual de investigación. Han sido asociadas con procesos cognitivos superiores como la atención, la memoria de trabajo, e incluso la consciencia.","Gammawellen sind Wellen der schnellsten Form neuraler Oszillation. Sie sind wegen ihrer hohen Frequenz generell schwer mit klassischen EEG-Geräten zu erkennen, aber gerade deswegen ein aktuelles Forschungsthema. Sie werden lose mit Aufmerksamkeit, Erinnerungsvermögen und Bewusstsein assoziiert."
BCITitle,Brain-computer interfaces,Interfaces cerveau-ordinateur,Interfaz cerebro-computadora (BCI),Gehirn-Computer-Interfaces
BCIDescription,"A brain-computer interface is a direct communication channel between the brain and an external device. For example, one can feed information about brain state based on EEG frequency bands to a computer; that computer then analyzes the EEG data and decides what the user intent was. The computer can use that command to control an external device such as a wheelchair or a display.","Une interface cerveau-ordinateur est un canal direct de communication entre le cerveau et un appareil externe. Par exemple, il est possible d�envoyer � un ordinateur de l�information sur les �tats mentaux d�un individu en se basant sur les bandes de fr�quences de l�EEG; cet ordinateur peut ensuite analyser les donn�es d�EEG et d�cider quel �tait l�intention de l�utilisateur. L�ordinateur peut aussi utiliser cette commande afin de contr�ler un appareil externe comme une chaise roulante ou un �cran.","Una interfaz cerebro-computadora es un canal de comunicación directo entre el cerebro y un dispositivo externo. Por ejemplo, podemos ingresar información en una computadora sobre el estado del cerebro basándonos en la potencia de las bandas de frecuencia del EEG; dicha computadora puede analizar esta información y decidir lo que el usuario quiere. La computadora podría usar esto para controlar un dispositivo externo, por ejemplo, una silla de ruedas o un monitor.","Ein Gehirn-Computer-Interface ist ein direkter Kommunikationskanal zwischen dem Gehirn und einem externen Gerät. So können Informationen über Hirnzustände beispielsweise direkt über EEG-Frequenzbänder an einen Computer gesandt werden; der Computer analysiert die Daten und entscheidet daraufhin, was die Intentionen des Benutzers waren. Der Rechner kann diese Informationen dazu verwenden, um Kontrollbefehle an externe Geräte, wie z.B. Rollstühle oder Displays, zu senden."
,,,,
//slide-end.js,//slide-end.js,//slide-end.js,//slide-end.js,//slide-end.js
thanksForCompleting,Thanks for completing \n EEG 101,Merci d�avoir compl�t� \n EEG 101,Gracias por completar \n EEG 101,Danke für deinen Durchlauf von \n EEG 101
hopeYouEnjoyed,"We have tried hard to provide a simple introduction to neuroscience, signal processing, and brain-computer interfaces. Of course, there is a lot more to learn!","Nous nous sommes efforc�s d�offrir une introduction simple aux neurosciences, au traitement de signal et aux interfaces cerveau-ordinateur. Bien entendu, il y a beaucoup encore � apprendre!","Hemos intentado darte una introducción simple a las neurociencias, el procesamiento digital de señales, y las interfaces cerebro-computadora. Por supuesto, ¡queda mucho que aprender!","Wir haben hart daran gearbeitet, eine einfache Einführung in die Neurowissenschaften, Signalverarbeitung und Gehirn-Computer-Interfaces bereitzustellen. Natürlich gibt es noch eine ganze Menge mehr zu lernen!"
furtherLearning,Resources for Further Learning,Ressources pour en apprendre plus,Recursos para seguir aprendiendo,Weiterführende (englischsprachige) Materialien
bciResource,Awesome List of BCI-related Resources,Excellente list de ressources sur les ICO,Lista genial de recursos relacionados a las BCI,Eine geniale Liste an BCI-verwandten Ressourcen
signalProcessingResource,Signals and Systems MIT Course,Cours du MIT sur les signaux et syst�mes,Curso de señales y sistemas del MIT,Signals and Systems MIT Course
machineLearningResource,Machine Learning is Fun!,L�apprentissage machine est amusant!,¡El Aprendizaje de Máquina es divertido!,Machine Learning is Fun!
projectOpenSource,This project is Open Source,Ceci est un projet de code source libre,Este proyecto es de código abierta (Open Source),Dieses Projekt ist Open Source
resultOfCollaboration,"EEG101 is the result of a collaboration between NeuroTechX, the international neurotechnology network, and the developers at KBDGroup. Its source code is open for anyone to use or contribute to.","EEG 101 est le r�sultat d�une collaboration entre NeuroTechX, le r�seau international des neurotechnologies, et les d�veloppeurs de KBDGroup. Le code source est libre afin que tous et toutes puissent l�utiliser et y contribuer.","EEG101 es el resultado de la colaboración entre NeuroTechX, la red de neurotecnología internacional, y de los desarrolladores en KBDGroup. El código fuente es abierto y cualquier persona puede tanto utilizarlo como contribuir. ","EEG101 ist das Resultat aus einer Kollaboration zwischen NeuroTechX, einer internationalen Vereinigung zum Thema Neurotechnologie, und den Entwicklern der KBDGroup. Der Code ist Open Source und für jedermann einsehbar; Beiträge sind herzlich willkommen."
interestedInApp,Interested in how an EEG app is built? Want to contribute to this project? Check out the repo on Github and our community on Slack.,Int�ress� � savoir comment une application qui utilise l�EEG fonctionne? D�sireux de contribuer � ce projet? Visitez notre page GitHub et notre communaut� Slack.,¿Interesado en saber como se puede construir una aplicación relacionada al EEG? ¿Te gustaría contribuir a este proyecto? Checa nuestro repositorio en GitHub y únete a nuestra comunidad en Slack,"Daran interessiert, wie eine EEG-App aufgebaut ist? Möchtest du zum Projekt beitragen? Dann sieh dir das Repository auf Github oder unsere Slack-Community an!"
theTeam,The EEG 101 Team,L��quipe d�EEG 101,El equipo EEG101,Das EEG 101-Team
teamMemberHubert,Hubert Banville - Visionary,Hubert Banville � Visionnaire,Hubert Banville - Visionario,Hubert Banville – Visionär
teamMemberDano,Dano Morrison - Developer,Dano Morrison � D�veloppeur,Dano Morrison - Desarrollador,Dano Morrison – Entwickler
teamMemberGeordan,Geordan King - Producer,Geordan King � Producteur,Geordan King - Productor,Geordan King – Produzent
teamMemberMichael,Michael Vu - Author,Michael Vu � Auteur,Michael Vu - Autor,Michael Vu – Autor
teamMemberJoanna,Joanna Jang - Author,Joanna Jang � Auteur,Joanna Jang - Autor,Joanna Jang – Autor
teamMemberBrian,Brian Stern - Software Architect,Brian Stern � Architecte logiciel,Brian Stern - Arquitecto de Software,Brian Stern – Software-Architekt
teamMemberSteve,Steve Harjula - Visual Design,Steve Harjula � Design visuel,Steve Harjula - Diseño Visual,Steve Harjula – Mediengestalter
teamMemberMiles,Miles McCraw - Animator,Miles McCraw � Animateur,Miles McCraw - Animador,Miles McCraw – Animationsdesigner
restartButton,RESTART TUTORIAL,RECOMMENCER LE TUTORIEL,VOLVER A EMPEZAR TUTORIAL,TUTORIAL NEU STARTEN
,,,,
//DeviceStatusWdiget,//DeviceStatusWdiget,//DeviceStatusWdiget,//DeviceStatusWdiget,//DeviceStatusWidget
widgetConnected,Muse connected,Muse connect�,Muse conectado,Muse verbunden
widgetDisconnected,No connected device,Aucun appareil connect�,Ningún dispositivo conectado,Kein verbundenes Gerät
widgetConnecting,Connecting...,En cours de connexion...,Conectando...,Verbindung wird hergestellt…
,,,,
//ConnectorModule/component.js,//ConnectorModule/component.js,//ConnectorModule/component.js,//ConnectorModule/component.js,//ConnectorModule/component.js
needsPermission,EEG 101 needs your permission,EEG 101 a besoin de votre autorisation,EEG 101 necesita tu permiso,EEG 101 benötigt deine Erlaubnis
requiresLocation,This app requires coarse location permission in order to discover and connect to the 2016 Muse.,Cette application a besoin d�ajouter l�autorisation de g�olocalisation afin de se connecter au Muse 2016.,Esta aplicación necesita permisos de localización precisa para poder detectar y conectarse al Muse 2016,"Diese App benötigt ungefähre Positionsbestimmung, um die Verbindung zu einem 2016 Muse herstellen zu können."
statusConnected,Connected,Connect�,Conectado,Verbunden
statusNoMusesTitle,No Muses were detected.,Aucun Muse n�a �t� d�tect�,Ningún Muse ha sido detectado.,Kein Muse wurde gefunden.
searchAgain, SEARCH AGAIN ,CHERCHER DE NOUVEAU,"Si no tienes un Muse, ¡de verdad lo sentimos mucho! Estamos trabajando actualmente en un modo ""Sin conexión"" que estará disponible próximamente","Falls du kein Muse besitzt, tut uns das schrecklich leid! Wir arbeiten derzeit an einem Offline-Modul, welches bald verfügbar sein sollte"
statusConnecting,Connecting...,En cours de connexion...,VOLVER A BUSCAR,ERNEUT SUCHEN
statusDisconnected,Searching for Muses,Recherche de Muses en cours,Conectando...,Verbindung wird hergestellt…
,,,,
// bci-01.js,// bci-01.js,// bci-01.js,// bci-01.js,//bci-01.js
bciTitle,BRAIN-COMPUTER INTERFACES,INTERFACES CERVEAU-ORDINATEUR,Interfaces Cerebro-Computadora,GEHIRN-COMPUTER-INTERFACES
whatIsBci,What is a Brain-Computer Interface?,Qu�est-ce qu�une interface cerveau-ordinateur?,¿Qué es una interfaz cerebro-computadora?,Was ist ein Gehirn-Computer-Interface?
bciDefinition1,A BCI is a communication channel that allows the brain to ,Une ICO est un canal de communication qui permet au cerveau,Una BCI (por sus siglas en inglés) es un canal de comunicación que le permite al cerebro ,"Ein BCI ist ein Kommunikationskanal, um dem Gehirn die"
bciDefinition2,interact,d�int�ragir,interactuar,Interaktion
bciDefinition3,with an external device such as a computer,"avec des appareils externes, tels qu�un ordinateur","con un dispositivo externo, como una computadora","mit einem externen Gerät, wie z.B. einem Computer, zu ermöglichen."
makeUseBci,How can we use EEG to make a BCI?,Comment utilise-t-on l�EEG pour faire une ICO?,¿Cómo podemos utilizar el EEG para crear una BCI?,"Wie können wir EEG dazu benutzen, ein BCI zu bauen?"
recognizePatternBrain,We can teach a computer to execute a command when it recognizes a certain pattern of brain activity. This process is called ,On peut enseigner � un ordinateur d�ex�cuter une commande lorsqu�il reconna�t un certain patron d�activit� c�r�brale. Ce processus est appel�,Le podemos enseñar a una computadora a ejecutar un comando cuando reconozca un patrón específico de actividad cerebral. Este proceso es llamado ,"Wir können dem Computer beibringen, bestimmte Befehle auszuführen, sobald ein gewisses Muster an Hirnaktivität auftritt. Der allgemeine Begriff dafür lautet"
machineLearning,machine learning,apprentissage machine,Aprendizaje de máquinas (Machine Learning),Maschinelles Lernen
buildBci,LET\'S BUILD A BCI,CONSTRUISONS UNE ICO,¡CONSTRUYAMOS UNA BCI!,LASS UNS EIN BCI BAUEN
bciInteractionTitle,Types of BCI interaction,Types d�ICO,Tipos de interacción BCI,Typen der BCI-Interaktion
activeBci,"Active BCI involves the user generating brain signals actively in order to control a computer. For example, using imagined movement of either the right or left hand to steer an avatar right or left. The function of active BCIs are to replace conventional interfaces such as keys on a keyboard.","Les ICO actives requi�rent de l�utilisateur qu�il g�n�re volontairement des signaux c�r�braux afin de contr�ler un ordinateur. Par exemple, en imagineant un movement de la main droite ou gauche afin de faire tourner un avatar vers la droite ou vers la gauche. Les ICO actives servent � remplacer ou am�liorer l�utilisation d�interfaces conventionelles comme les touches d�un clavier.","En una BCI activa, el usuario genera señales cerebrales voluntariamente para controlar una computadora. Por ejemplo, el usuario podría imaginar que mueve su mano derecha o izquierda, y esto generaría que el avatar en una computadora se moviera a la derecha o a la izquierda. Las funciones de una BCI activa pueden ser reemplazadas por interfaces convencionales tales como las teclas de un teclado.","Aktive BCIs beinhalten nutzergenerierte Hirnsignale, die aktiv einen Computer steuern. Dazu gehört beispielsweise eine imaginäre Gestensteuerung, die eine Figur am PC fernsteuert. Die Funktion aktiver BCIs ist es, konventionelle Interfaces wie Tastatur und Maus zu ersetzen."
reactiveBci,"Reactive BCIs use the brain\'s natural response to stimuli in order to gauge the user\'s intent. For example, detecting visually evoked responses to flashes of light on a keyboard to allow a user to spell by focusing their eyes on specific words. Although they don\'t require direct and conscious control, reactive BCIs must be built around specific stimuli that evolve known brain responses when perceived.","Les ICO r�actives utilisent la r�ponse naturelle du cerveau � un stimulus afin d�inf�rer l�intention de l�utilisateur. Par exemple, en d�tectant l�activit� c�r�brale induite par le clignotement de lumi�res sur un clavier, permettant � l�utilisateur d��peler en fixant diff�rents mots. M�me si elles ne requi�rent pas n�cessairement un contr�le direct et volontaire, les ICO r�actives utilisent des stimuli sp�cifiques qui, lorsque per�us, produisent des r�ponses c�r�brales bien connues.","Las BCI reactivas usan las respuestas a estímulos del cerebro para estimar la intención del usuario. Por ejemplo, detectar potenciales visuales evocados en respuesta a destellos luminosos en un teclado permite a un usuario escribir concentrando sus ojos en palabras específicas. Estas BCI no requieren control directo y consciente, no obstante, deben ser construidas alrededor de un tipo específico de estímulo que, cuando se perciba, evoque una respuesta cerebral conocida.","Reaktive BCIs hingegen machen sich der natürlichen Antwort des Gehirns auf Stimulation zunutze, um die Intention des Nutzers erfahren. Ein Beispiel hierfür sind durch Blitzlicht erzeugte Reaktionen des Auges bei speziellen Tastaturen, die Augensteuerung erlauben. Obwohl solche BCIs keine direkte (und bewusste) Interaktion erfordern, müssen sie um bestimmte Stimuli herum aufgebaut sein, die bekannte Hirnaktivitäten hervorrufen."
